visit_date,referrer,visitor_device,is_lead
2021-03-27 10:38:19.482951,,"{""value"": ""PC"", ""value_id"": ""desktop""}",true
2021-03-10 12:50:36.680002,,"{""value"": ""Mobile"", ""value_id"": ""mobile""}",
2021-03-05 19:53:09.428238,,"{""value"": ""PC"", ""value_id"": ""desktop""}",
2021-03-08 10:15:12.315905,,"{""value"": ""PC"", ""value_id"": ""desktop""}",true
2021-03-17 13:25:55.861624,https://www.google.com/,"{""value"": ""PC"", ""value_id"": ""desktop""}",true
2021-03-23 10:38:49.041414,,"{""value"": ""PC"", ""value_id"": ""desktop""}",
2021-03-28 23:16:19.100134,,"{""value"": ""PC"", ""value_id"": ""desktop""}",true
2021-03-10 07:16:53.577870,https://callgear.ae/vpbx/?utm_source=google&utm_medium=cpc&utm_campaign=GAW_UAE_DU_SEARCH_VP_TR_Key_NewPage|12187113246&utm_term=voip cloud&utm_content=tid|kwd-13704117858|cid|12187113246|aid|494770255120|gid|119774347129|pos||src|g_|dvc|c|reg|1000013|rin||oh|&cm_id=12187113246_119774347129_494770255120_kwd-13704117858_c__g_&gclid=CjwKCAjwg4-EBhBwEiwAzYAlsjqer99BdzB-UJ13uiAGOv0aGEsOmBHmvkQ0k-zGs6S4z_Z9-k3rjBoCl88QAvD_BwE,"{""value"": ""PC"", ""value_id"": ""desktop""}",
2021-03-23 20:03:21.098973,https://www.google.com/,"{""value"": ""PC"", ""value_id"": ""desktop""}",
2021-03-04 23:16:36.637201,,"{""value"": null, ""value_id"": null}",
2021-03-11 15:27:48.953132,https://www.google.com/,"{""value"": ""Mobile"", ""value_id"": ""mobile""}",
2021-03-17 02:19:57.740003,https://www.google.com/,"{""value"": ""Mobile"", ""value_id"": ""mobile""}",true
2021-03-30 23:13:58.078462,https://www.google.com/,"{""value"": ""Mobile"", ""value_id"": ""mobile""}",true
2021-03-04 20:20:04.640043,,"{""value"": ""PC"", ""value_id"": ""desktop""}",
2021-03-12 00:16:15.611361,,"{""value"": ""PC"", ""value_id"": ""desktop""}",true
2021-03-17 22:28:22.511143,,"{""value"": ""PC"", ""value_id"": ""desktop""}",
2021-03-15 14:20:47.991846,,"{""value"": ""PC"", ""value_id"": ""desktop""}",true
